titulo,link,data,Is_Edital,Campus_Citado,Topico_Classificado
Valença divulga preliminar para estágio curricular,https://www.ifpi.edu.br/valenca/noticias/valenca-divulga-preliminar-para-estagio-curricular,13/10/2025,False,IFPI - Campus Valença,Ensino e Cursos
Piripiri homologa inscrições para monitorias,https://www.ifpi.edu.br/piripiri/noticias/piripiri-homologa-inscricoes-para-monitorias-1,13/10/2025,True,IFPI - Campus Piripiri,Ensino e Cursos
Campus Oeiras seleciona monitores voluntários,https://www.ifpi.edu.br/oeiras/noticias/campus-oeiras-seleciona-monitores-voluntarios,13/10/2025,True,IFPI - Campus Oeiras,Ensino e Cursos
Pedro II homologa inscrições para monitorias,https://www.ifpi.edu.br/pedroii/noticias/pedro-ii-homologa-inscricoes-para-monitorias,13/10/2025,True,IFPI - Geral,Outros/Geral
Picos realiza acolhimento para estudantes ingressantes,https://www.ifpi.edu.br/picos/noticias/picos-realiza-acolhimento-para-estudantes-ingressantes,13/10/2025,False,IFPI - Campus Picos,Concursos e Seleção de Servidores
Campus José de Freitas integra Campanha de Vacinação Antirrábica,https://www.ifpi.edu.br/josedefreitas/noticias/campus-jose-de-freitas-integra-campanha-de-vacinacao-antirrabica,13/10/2025,False,IFPI - Campus José de Freitas,Concursos e Seleção de Servidores
Corrente seleciona monitores de Matemática e Português,https://www.ifpi.edu.br/corrente/noticias/corrente-seleciona-monitores-de-matematica-e-portugues,13/10/2025,True,IFPI - Geral,Assistência Estudantil
Ministério Público leva palestra sobre racismo para o Campus Cocal,https://www.ifpi.edu.br/cocal/noticias/ministerio-publico-leva-palestra-sobre-racismo-para-o-campus-cocal,13/10/2025,False,IFPI - Campus Cocal,Extensão e Cultura
Campus Esperantina realiza palestra em Assentamento Rural,https://www.ifpi.edu.br/noticias/campus-esperantina-realiza-palestra-em-assentamento-rural,13/10/2025,False,IFPI - Geral,Pesquisa e Inovação
Egressas do IFPI expõem produtos que evidenciam iniciativas profissionais,https://www.ifpi.edu.br/teresinacentral/noticias/egressos-do-ifpi-expoem-produtos-que-evidenciam-iniciativas-profissionais,13/10/2025,False,IFPI - Geral,Pesquisa e Inovação
ProfEPT divulga referências bibliográficas para o Exame Nacional de Acesso 2026,https://www.ifpi.edu.br/noticias/profept-divulga-referencias-bibliograficas-para-o-exame-nacional-de-acesso-2026,13/10/2025,True,Não Mapeado,Pós-Graduação
Teresina Central promove palestra sobre Comunicação Organizacional,https://www.ifpi.edu.br/teresinacentral/noticias/teresina-central-promove-palestra-sobre-comunicacao-organizacional,13/10/2025,False,IFPI - Campus Teresina Central,Extensão e Cultura
Campo Maior divulga segunda chamada para curso gratuito de Inglês Básico,https://www.ifpi.edu.br/campomaior/noticias/campo-maior-divulga-segunda-chamada-para-curso-gratuito-de-ingles-basico,13/10/2025,False,IFPI - Campus Campo Maior,Outros/Geral
Saúde Mental é tema do projeto Repensar 2025,https://www.ifpi.edu.br/noticias/saude-mental-e-tema-do-projeto-repensar-2025,13/10/2025,False,IFPI - Campus Floriano,Concursos e Seleção de Servidores
Startups do IFPI levam inovação para Campus Party Weekend 2025,https://www.ifpi.edu.br/noticias/startups-do-ifpi-levam-inovacao-da-campus-party-weekend-2025,12/10/2025,False,IFPI - Geral,Concursos e Seleção de Servidores
Reitoria realizará serviço de dedetização nesta sexta (10),https://www.ifpi.edu.br/noticias/reitoria-realizara-servico-de-dedetizacao-nesta-sexta-10,10/10/2025,False,Não Mapeado,Concursos e Seleção de Servidores
Professor do IFPI tem tese de doutorado premiada,https://www.ifpi.edu.br/dirceu/noticias/professor-do-ifpi-tem-tese-de-doutorado-premiada,09/10/2025,False,IFPI - Geral,Pós-Graduação
Teresina Zona Sul seleciona bolsistas para Jornada de Saberes e da Diversidade,https://www.ifpi.edu.br/teresinazonasul/noticias/teresina-zona-sul-seleciona-bolsistas-para-jornada-de-saberes-e-da-diversidade,09/10/2025,True,IFPI - Campus Teresina Zona Sul,Assistência Estudantil
"Campus Pedro II realiza Feira de Inovação, Ciência e Tecnologia Sustentável na Terra da Opala",https://www.ifpi.edu.br/pedroii/noticias/campus-pedro-ii-realiza-feira-de-inovacao-ciencia-e-tecnologia-sustentavel-na-terra-da-opala,09/10/2025,True,IFPI - Campus Pedro II,Pós-Graduação
Alunos do Campus São João são premiados na 72ª Jornada de Foguetes e na OBA,https://www.ifpi.edu.br/saojoao/noticias/alunos-do-campus-sao-joao-sao-premiados-na-72a-jornada-de-foguetes-e-na-oba,09/10/2025,False,IFPI - Campus São João,Concursos e Seleção de Servidores
Cocal oferta vagas de monitoria remunerada e voluntária,https://www.ifpi.edu.br/cocal/noticias/cocal-oferta-vagas-de-monitoria-remunerada-e-voluntaria,09/10/2025,True,Não Mapeado,Assistência Estudantil
Campus Campo Maior realizará 3ª edição do Jovens na Ciência,https://www.ifpi.edu.br/campomaior/noticias/campus-campo-maior-realizara-3a-edicao-do-jovens-na-ciencia,09/10/2025,True,IFPI - Campus Campo Maior,Concursos e Seleção de Servidores
IFPI publica errata de especialização em Educação do Campo e Quilombola,https://www.ifpi.edu.br/noticias/ifpi-publica-errata-de-especializacao-em-educacao-do-campo-e-quilombola,09/10/2025,True,IFPI - Geral,Pós-Graduação
Professores do Campus Teresina Central apresentam trabalhos em evento científico em Educação,https://www.ifpi.edu.br/teresinacentral/noticias/professores-do-cmapus-teresina-central-apresentam-trabalhos-em-evento-cientifico-em-educacao,09/10/2025,False,IFPI - Campus Teresina Central,Concursos e Seleção de Servidores
Valença divulga seleção para Estágio Curricular,https://www.ifpi.edu.br/valenca/noticias/valenca-divulga-selecao-para-estagio-curricular,09/10/2025,True,IFPI - Campus Valença,Ensino e Cursos
IFPI celebra Dia do Tecnólogo em Alimentos com palestras sobre saúde mental e comunicação assertiva,https://www.ifpi.edu.br/teresinacentral/noticias/ifpi-celebra-dia-do-tecnologo-em-alimentos-com-palestras-sobre-saude-mental-e-comunicacao-assertiva,09/10/2025,False,IFPI - Geral,Concursos e Seleção de Servidores
IFPI seleciona para especialização em educação do campo e quilombola,https://www.ifpi.edu.br/noticias/ifpi-seleciona-para-especializacao-em-educacao-do-campo-e-quilombola,08/10/2025,True,IFPI - Geral,Pós-Graduação
Campus Paulistana realiza Curso Prático de Combate a Incêndios e Situações de Emergência,https://www.ifpi.edu.br/paulistana/noticias/campus-paulistana-realiza-curso-pratico-de-combate-a-incendios-e-situacoes-de-emergencia,08/10/2025,False,IFPI - Campus Paulistana,Concursos e Seleção de Servidores
Campo Maior divulga aprovados para curso de Inglês,https://www.ifpi.edu.br/campomaior/noticias/campo-maior-divulga-aprovados-para-curso-de-ingles-1,08/10/2025,True,IFPI - Campus Campo Maior,Ensino e Cursos
Campus São João do Piauí realiza Conexão ADM,https://www.ifpi.edu.br/saojoao/noticias/campus-sao-joao-do-piaui-realiza-conexao-adm,08/10/2025,False,IFPI - Campus São João,Concursos e Seleção de Servidores
Picos faz 4ª chamada para curso de ADS,https://www.ifpi.edu.br/picos/noticias/picos-faz-4a-chamada-para-curso-de-ads,08/10/2025,True,IFPI - Campus Picos,Ensino e Cursos
Teresina Central realiza evento para valorização de egressos,https://www.ifpi.edu.br/teresinacentral/noticias/teresina-central-realiza-evento-para-valorizacao-de-egressos,08/10/2025,False,IFPI - Geral,Pesquisa e Inovação
Cocal oferta Curso Básico de Inglês,https://www.ifpi.edu.br/cocal/noticias/cocal-oferta-curso-basico-de-ingles,08/10/2025,True,IFPI - Campus Cocal,Ensino e Cursos
QUALIFICAÇÃO DE MESTRADO: WANDERSON DE SOUSA SILVA,https://www.ifpi.edu.br/noticias/qualificacao-de-mestrado-wanderson-de-sousa-silva,08/10/2025,False,Não Mapeado,Pós-Graduação
Campus Cocal e Secretarias municipais realizam Marcha das Mulheres Negras,https://www.ifpi.edu.br/cocal/noticias/campus-cocal-e-secretarias-municipais-realizam-marcha-das-mulheres-negras-1,08/10/2025,False,IFPI - Campus Cocal,Ensino e Cursos
Campus Cocal tem pré-estreia do filme Jenipapo - O Grito dos Esquecidos,https://www.ifpi.edu.br/cocal/noticias/campus-cocal-tem-pre-estreia-do-filme-jenipapo-o-grito-dos-esquecidos,08/10/2025,False,IFPI - Campus Cocal,Pesquisa e Inovação
IFPI e FAIFPI realizam doação de livros a estudantes da unidade prisional Major César,https://www.ifpi.edu.br/noticias/ifpi-e-faifpi-realizam-doacao-de-livros-a-estudantes-da-unidade-prisional-major-cesar,08/10/2025,False,IFPI - Geral,Concursos e Seleção de Servidores
Teresina Central recebe exposição Multiversos do Trabalho,https://www.ifpi.edu.br/teresinacentral/noticias/teresina-central-recebe-exposicao-multiversos-do-trabalho,08/10/2025,False,IFPI - Campus Teresina Central,Concursos e Seleção de Servidores
Alunos de Administração do Campus Piripiri se destacam no 36° ENANGRAD com 23 trabalhos aprovados,https://www.ifpi.edu.br/piripiri/noticias/alunos-de-administracao-do-campus-piripiri-se-destacam-no-36deg-enangrad-com-23-trabalhos-aprovados,08/10/2025,False,IFPI - Campus Piripiri,Concursos e Seleção de Servidores
Divulgada lista de aprovados em 2ª chamada para curso técnico em Defesa Civil,https://www.ifpi.edu.br/teresinacentral/noticias/divulgada-a-lista-de-aprovados-em-2a-chamada-para-o-curso-tecnico-em-defesa-civil,07/10/2025,True,IFPI - Geral,Concursos e Seleção de Servidores
IFPI realiza I Feira Piauiense de Ciências e Engenharia,https://www.ifpi.edu.br/teresinacentral/noticias/ifpi-realiza-i-feira-piauiense-de-ciencias-e-engenharia,07/10/2025,False,IFPI - Geral,Ensino e Cursos
Estudantes do Campus Oeiras participam do Congresso Nacional de Educação em Recife,https://www.ifpi.edu.br/oeiras/noticias/estudantes-do-campus-oeiras-participam-do-congresso-nacional-de-educacao-em-recife,07/10/2025,False,IFPI - Campus Oeiras,Concursos e Seleção de Servidores
Cocal seleciona monitor ledor para o NAPNE,https://www.ifpi.edu.br/cocal/noticias/cocal-seleciona-monitor-ledor-para-o-napne,07/10/2025,True,IFPI - Campus Cocal,Assistência Estudantil
Professora do IFPI tem filme premiado e com exibição marcada em Londres,https://www.ifpi.edu.br/teresinacentral/noticias/professora-do-ifpi-tem-filme-premiado-e-com-exibicao-marcada-em-londres,07/10/2025,False,IFPI - Geral,Pós-Graduação
Teresina Central convida alunos para projeto Sementes do Saber,https://www.ifpi.edu.br/teresinacentral/noticias/teresina-central-convida-alunos-para-projeto-sementes-do-saber,07/10/2025,False,IFPI - Campus Teresina Central,Outros/Geral
Campus São João tem roda de conversa sobre saúde mental,https://www.ifpi.edu.br/saojoao/noticias/campus-sao-joao-tem-roda-de-conversa-sobre-saude-mental,07/10/2025,False,IFPI - Campus São João,Concursos e Seleção de Servidores
Piripiri seleciona monitores,https://www.ifpi.edu.br/piripiri/noticias/piripiri-seleciona-monitores,07/10/2025,True,IFPI - Campus Piripiri,Outros/Geral
Valença divulga resultado final para Estágio Curricular,https://www.ifpi.edu.br/valenca/noticias/valenca-divulga-resultado-final-para-estagio-curricular,07/10/2025,False,IFPI - Campus Valença,Ensino e Cursos
